isolabel_ext,synonym
CO-ANT-Itagui,co-5360
CO-ANT-Itagui,co-a-itagui
CO-ANT-Itagui,co;ant;itagui
CO-ANT-Ituango,co;ant;ituango
CO-ANT-Ituango,co;antioquia;ituango
CO-ANT-Ituango,co-a-itg
CO-ANT-Ituango,co-a-ituango
CO-ANT-Ituango,co-5361
CO-ANT-Ituango,co-ituango
CO-ANT-Jardin,co-jardin
CO-ANT-Jardin,co;ant;jardin
CO-ANT-Jardin,co-5364
CO-ANT-Jardin,co;antioquia;jardin
CO-ANT-Jardin,co-a-jardin
CO-ANT-Jardin,co-a-jdn
CO-ANT-Jerico,co;antioquia;jerico
CO-ANT-Jerico,co-5368
CO-ANT-Jerico,co;ant;jerico
CO-ANT-Jerico,co-a-jerico
CO-ANT-Jerico,co-a-jro
CO-ANT-LaCeja,co;antioquia;la.ceja
CO-ANT-LaCeja,co-a-laceja
CO-ANT-LaCeja,co-laceja
CO-ANT-LaCeja,co-a-lcj
CO-ANT-LaCeja,co-5376
CO-ANT-LaCeja,co;ant;la.ceja
CO-ANT-LaEstrella,co-laestrella
CO-ANT-LaEstrella,co-a-lel
CO-ANT-LaEstrella,co;ant;la.estrella
CO-ANT-LaEstrella,co;antioquia;la.estrella
CO-ANT-LaEstrella,co-5380
CO-ANT-LaEstrella,co-a-laestrella
CO-ANT-LaPintada,co-lapintada
CO-ANT-LaPintada,co-a-lapintada
CO-ANT-LaPintada,co;antioquia;la.pintada
CO-ANT-LaPintada,co-a-lpa
CO-ANT-LaPintada,co;ant;la.pintada
CO-ANT-LaPintada,co-5390
CO-ANT-LaUnion,co-5400
CO-ANT-LaUnion,co-a-launion
CO-ANT-LaUnion,co;antioquia;la.union
CO-ANT-LaUnion,co;ant;la.union
CO-ANT-Liborina,co;ant;liborina
CO-ANT-Liborina,co-5411
CO-ANT-Liborina,co-a-liborina
CO-ANT-Liborina,co;antioquia;liborina
CO-ANT-Liborina,co-liborina
CO-ANT-Maceo,co;ant;maceo
CO-ANT-Maceo,co-maceo
CO-ANT-Maceo,co;antioquia;maceo
CO-ANT-Maceo,co-a-maceo
CO-ANT-Maceo,co-5425
CO-ANT-Maceo,co-a-mao
CO-ANT-Marinilla,co-5440
CO-ANT-Marinilla,co-a-marinilla
CO-ANT-Marinilla,co;antioquia;marinilla
CO-ANT-Marinilla,co;ant;marinilla
CO-ANT-Marinilla,co-marinilla
CO-ANT-Medellin,co-5001
CO-ANT-Medellin,co;antioquia;medellin
CO-ANT-Medellin,co-a-mdl
CO-ANT-Medellin,co-a-medellin
CO-ANT-Medellin,co;ant;medellin
CO-ANT-Medellin,co-medellin
CO-ANT-Montebello,co-montebello
CO-ANT-Montebello,co-a-mot
CO-ANT-Montebello,co;antioquia;montebello
CO-ANT-Montebello,co-5467
CO-ANT-Montebello,co;ant;montebello
CO-ANT-Montebello,co-a-montebello
CO-ANT-Murindo,co;antioquia;murindo
CO-ANT-Murindo,co-5475
CO-ANT-Murindo,co-a-mur
CO-ANT-Murindo,co-a-murindo
CO-ANT-Murindo,co;ant;murindo
CO-ANT-Murindo,co-murindo
CO-ANT-Mutata,co;antioquia;mutata
CO-ANT-Mutata,co-5480
CO-ANT-Mutata,co-a-mutata
CO-ANT-Mutata,co-a-mua
CO-ANT-Mutata,co;ant;mutata
CO-ANT-Mutata,co-mutata
CO-ANT-Narino,co;ant;narino
CO-ANT-Narino,co-a-nan
CO-ANT-Narino,co;antioquia;narino
CO-ANT-Narino,co-a-narino
CO-ANT-Narino,co-5483
CO-ANT-Nechi,co-a-nechi
CO-ANT-Nechi,co-5495
CO-ANT-Nechi,co;ant;nechi
CO-ANT-Nechi,co-nechi
CO-ANT-Nechi,co-a-neh
CO-ANT-Nechi,co;antioquia;nechi
CO-ANT-Necocli,co;ant;necocli
CO-ANT-Necocli,co-a-necocli
CO-ANT-Necocli,co-necocli
CO-ANT-Necocli,co-5490
CO-ANT-Necocli,co-a-nec
CO-ANT-Necocli,co;antioquia;necocli
CO-ANT-Olaya,co-a-oly
CO-ANT-Olaya,co-a-olaya
CO-ANT-Olaya,co;antioquia;olaya
CO-ANT-Olaya,co-5501
CO-ANT-Olaya,co-olaya
CO-ANT-Olaya,co;ant;olaya
CO-ANT-Peque,co;antioquia;peque
CO-ANT-Peque,co-5543
CO-ANT-Peque,co-a-peq
CO-ANT-Peque,co-peque
CO-ANT-Peque,co-a-peque
CO-ANT-Peque,co;ant;peque
CO-ANT-Pueblorrico,co-a-pub
CO-ANT-Pueblorrico,co;antioquia;pueblorrico
CO-ANT-Pueblorrico,co-5576
CO-ANT-Pueblorrico,co;ant;pueblorrico
CO-ANT-Pueblorrico,co-a-pueblorrico
CO-ANT-Pueblorrico,co-pueblorrico
CO-ANT-PuertoBerrio,co-puertoberrio
CO-ANT-PuertoBerrio,co;ant;puerto.berrio
CO-ANT-PuertoBerrio,co;antioquia;puerto.berrio
CO-ANT-PuertoBerrio,co-a-puertoberrio
CO-ANT-PuertoBerrio,co-5579
CO-ANT-PuertoNare,co;antioquia;puerto.nare
CO-ANT-PuertoNare,co;ant;puerto.nare
CO-ANT-PuertoNare,co-puertonare
CO-ANT-PuertoNare,co-5585
CO-ANT-PuertoNare,co-a-ptn
CO-ANT-PuertoNare,co-a-puertonare
CO-ANT-PuertoTriunfo,co-puertotriunfo
CO-ANT-PuertoTriunfo,co-5591
CO-ANT-PuertoTriunfo,co;ant;puerto.triunfo
CO-ANT-PuertoTriunfo,co;antioquia;puerto.triunfo
CO-ANT-PuertoTriunfo,co-a-puertotriunfo
CO-ANT-PuertoTriunfo,co-a-ptf
CO-ANT-Remedios,co-5604
CO-ANT-Remedios,co;antioquia;remedios
CO-ANT-Remedios,co;ant;remedios
CO-ANT-Remedios,co-remedios
CO-ANT-Remedios,co-a-remedios
CO-ANT-Remedios,co-a-rem
CO-ANT-Rionegro,co-a-rionegro
CO-ANT-Rionegro,co-5615
CO-ANT-Rionegro,co;antioquia;rionegro
CO-ANT-Rionegro,co-a-rno
CO-ANT-Rionegro,co;ant;rionegro
CO-ANT-Sabanalarga,co;antioquia;sabanalarga
CO-ANT-Sabanalarga,co;ant;sabanalarga
CO-ANT-Sabanalarga,co-5628
CO-ANT-Sabanalarga,co-a-sbn
CO-ANT-Sabaneta,co-sabaneta
CO-ANT-Sabaneta,co;ant;sabaneta
CO-ANT-Sabaneta,co-5631
CO-ANT-Sabaneta,co;antioquia;sabaneta
CO-ANT-Sabaneta,co-a-sbt
CO-ANT-Sabaneta,co-a-sabaneta
CO-ANT-Salgar,co-5642
CO-ANT-Salgar,co-a-sal
CO-ANT-Salgar,co-a-salgar
CO-ANT-Salgar,co-salgar
CO-ANT-Salgar,co;antioquia;salgar
CO-ANT-Salgar,co;ant;salgar
CO-ANT-SanAndresCuerquia,co;ant;san.andres.cuerquia
CO-ANT-SanAndresCuerquia,co;antioquia;san.andres.cuerquia
CO-ANT-SanAndresCuerquia,co-a-sac
CO-ANT-SanAndresCuerquia,co-5647
CO-ANT-SanAndresCuerquia,co-sanandrescuerquia
CO-ANT-SanAndresCuerquia,co-a-sanandrescuerquia
CO-ANT-SanCarlos,co-a-scs
CO-ANT-SanCarlos,co-5649
CO-ANT-SanCarlos,co-a-sancarlos
CO-ANT-SanCarlos,co;ant;san.carlos
CO-ANT-SanCarlos,co;antioquia;san.carlos
CO-ANT-SanFrancisco,co;ant;san.francisco
CO-ANT-SanFrancisco,co-5652
CO-ANT-SanFrancisco,co-a-sfo
CO-ANT-SanFrancisco,co-a-sanfrancisco
CO-ANT-SanFrancisco,co;antioquia;san.francisco
CO-ANT-SanJeronimo,co-a-sanjeronimo
CO-ANT-SanJeronimo,co-sanjeronimo
CO-ANT-SanJeronimo,co;ant;san.jeronimo
CO-ANT-SanJeronimo,co-5656
CO-ANT-SanJeronimo,co-a-sjo
CO-ANT-SanJeronimo,co;antioquia;san.jeronimo
CO-ANT-SanJoseLaMontana,co-sanjoselamontana
CO-ANT-SanJoseLaMontana,co-a-sanjoselamontana
CO-ANT-SanJoseLaMontana,co;ant;san.jose.la.montana
CO-ANT-SanJoseLaMontana,co-a-sjm
CO-ANT-SanJoseLaMontana,co;antioquia;san.jose.la.montana
CO-ANT-SanJoseLaMontana,co-5658
CO-ANT-SanJuanUraba,co-5659
CO-ANT-SanJuanUraba,co-a-sju
CO-ANT-SanJuanUraba,co;antioquia;san.juan.uraba
CO-ANT-SanJuanUraba,co-a-sanjuanuraba
CO-ANT-SanJuanUraba,co;ant;san.juan.uraba
CO-ANT-SanJuanUraba,co-sanjuanuraba
CO-ANT-SanLuis,co-5660
CO-ANT-SanLuis,co-a-sanluis
CO-ANT-SanLuis,co-a-sls
CO-ANT-SanLuis,co;antioquia;san.luis
CO-ANT-SanLuis,co;ant;san.luis
CO-ANT-SanPedroMilagros,co-5664
CO-ANT-SanPedroMilagros,co;ant;san.pedro.milagros
CO-ANT-SanPedroMilagros,co-a-sanpedromilagros
CO-ANT-SanPedroMilagros,co-sanpedromilagros
CO-ANT-SanPedroMilagros,co-a-spl
CO-ANT-SanPedroMilagros,co;antioquia;san.pedro.milagros
CO-ANT-SanPedroUraba,co-a-sanpedrouraba
CO-ANT-SanPedroUraba,co-5665
CO-ANT-SanPedroUraba,co;antioquia;san.pedro.uraba
CO-ANT-SanPedroUraba,co-sanpedrouraba
CO-ANT-SanPedroUraba,co-a-spu
CO-ANT-SanPedroUraba,co;ant;san.pedro.uraba
CO-ANT-SanRafael,co-a-srl
CO-ANT-SanRafael,co;ant;san.rafael
CO-ANT-SanRafael,co;antioquia;san.rafael
CO-ANT-SanRafael,co-a-sanrafael
CO-ANT-SanRafael,co-5667
CO-ANT-SanRafael,co-sanrafael
CO-ANT-SanRoque,co;antioquia;san.roque
CO-ANT-SanRoque,co-a-sanroque
CO-ANT-SanRoque,co-a-srq
CO-ANT-SanRoque,co-5670
CO-ANT-SanRoque,co;ant;san.roque
CO-ANT-SanRoque,co-sanroque
CO-ANT-SanVicente,co-a-sanvicente
CO-ANT-SanVicente,co-a-svf
CO-ANT-SanVicente,co;ant;san.vicente
CO-ANT-SanVicente,co-sanvicente
CO-ANT-SanVicente,co;antioquia;san.vicente
CO-ANT-SanVicente,co-5674
CO-ANT-SantaBarbara,co-a-santabarbara
CO-ANT-SantaBarbara,co;antioquia;santa.barbara
CO-ANT-SantaBarbara,co;ant;santa.barbara
CO-ANT-SantaBarbara,co-5679
CO-ANT-SantaBarbara,co-a-sba
CO-ANT-SantaFeAntioquia,co-santafeantioquia
