isolabel_ext,status,cover,overlay
CO-BOY-Chiscas,0,c6bv c6er c6ev cc1m cc4h cc4m cc4r cc4v cc6h cc6m,
CO-BOY-Chita,0,c66r c66v c69m c69v c6bm c6ch c6cm c6cr c6eh,
CO-BOY-Chitaraque,0,c36v c37r c3cm c3dh,
CO-BOY-Chivata,0,c359k c359p c359s c359t c359y c359z c35bj c35bn c35bp c35ck c35cs c35ct c35ej c35ek c35es c35et,
CO-BOY-Chivor,0,c1cm c1cv c1dh c1dr,
CO-BOY-Cienega,0,c1fbt c1fby c350p c350y c350z c351j c351k c351n c351p c351s c351t c351y c351z c354k c354s c354t,
CO-BOY-Combita,0,c35r c37h c37r,
CO-BOY-Coper,0,c30m c30v c31h,
CO-BOY-Corrales,0,c62m c62v c63r,
CO-BOY-Covarachia,0,c6av c6br cc0m cc1h,
CO-BOY-Cubara,0,cc4v cc5r cc5v cc6h cc6m cc6v cc7h cc7m cc7r cc7v,
CO-BOY-Cuitiva,0,c609y c609z c60bj c60bn c60bp c60cs c60ct c60cy c60ej c60ek c60en c60ep c60es c60ez,
CO-BOY-Duitama,0,c37v c3dm c62h c62r c68h,
CO-BOY-ElCocuy,0,c6bm c6eh c6em c6er c6ev,
CO-BOY-ElEspino,0,c6bfn c6bfp c6bfy c6bfz c6e8t c6eaj c6eak c6ean c6eap c6eas c6eat c6eay c6eaz c6ebs c6ebt cc40j cc40n,
CO-BOY-Firavitoba,0,c35v c37m c60r c62h c62m,
CO-BOY-Floresta,0,c62m c62r c62v,
CO-BOY-Gachantiva,0,c36h c36m c36r c36v,
CO-BOY-Gameza,0,c62m c62v c63h c63m c63r c63v,
CO-BOY-Garagoa,0,c1cv c1dr c1fh c1fm,
CO-BOY-Guacamayas,0,c6bdk c6bdn c6bdp c6bds c6bdt c6bdy c6bdz c6bfj c6bfk c6bfn c6bfp c6e8j c6e8k c6e8s c6e8t c6eaj,
CO-BOY-Guateque,0,c1ccy c1cdt c1cej c1cek c1cen c1cep c1ces c1cet c1cey c1cez c1cfj c1cfk c1cfs c1e4n,
CO-BOY-Guayata,0,c1ch c1cm c1cr c1cv,
CO-BOY-Guican,0,c6em c6er c6ev c6fr cc4h cc4m cc4v cc5h cc5r,
CO-BOY-Iza,0,c60bj c60bk c60bn c60bp c60bs c60bt c60by c60bz c60ek c60es c60et,
CO-BOY-Jenesano,0,c1fap c1fas c1fat c1fay c1faz c345n c345p c345y c345z c350j c350k c350n c350s c350t c350y c350z c352n,
CO-BOY-Jerico,0,c69m c69r c69v,
CO-BOY-LaCapilla,0,c1e4n c1e4p c1e4y c1e4z c1e5j c1e5k c1e5s c1e5t c1e5y c1e5z c1e6n c1e6p c1e7j c1e7k c1e7n,
CO-BOY-LaUvita,0,c69v c6bm c6eh,
CO-BOY-LaVictoria,0,c302s c302t c302y c302z c308j c308k c308n c308p c308z c309j c309k c309s,
CO-BOY-Labranzagrande,0,c61h c61m c61r c61v c63h c63m c64h c64r,
CO-BOY-Macanal,0,c1dh c1dr c1dv c1fh c1fm,
CO-BOY-Miraflores,0,c1fh c1fm c1fv c4ah,
CO-BOY-Mongua,0,c61r c61v c62m c63h c63m,
CO-BOY-Mongui,0,c60v c62m c63h,
CO-BOY-Moniquira,0,c36h c36m c36r c36v c3ch c3cm,
CO-BOY-Motavita,0,c34dy c34fn c34fp c34fy c34fz c358s c358t c358y c35aj c35ak c35an c35ap c35as c35at c35az c370j,
CO-BOY-Nobsa,0,c623p c623y c623z c626k c626p c626s c626t c626y c626z c627s c629n c62cj c62cn,
CO-BOY-NuevoColon,0,c1een c1eep c1eey c1eez c1efj c1efk c1efs c1eft c1efy c344n c344p c345j c345k c345n c345p c345s c345t c345z,
CO-BOY-Oicata,0,c358y c359t c359y c35an c35ap c35bj c35bk c35bn c35bp c35bs c35bt c35by c35bz c35ek c35es c371j c371n,
CO-BOY-Otanche,0,c25v c27m c30r c32h c32m c32r c32v,
CO-BOY-Pachavita,0,c1e5p c1e5y c1e5z c1e7j c1e7k c1e7n c1e7p c1e7s c1e7y c1e7z c1edn c1f0k c1f0s c1f0t c1f2j c1f2k c1f2s c1f2t c1f8j,
CO-BOY-Paez,0,c1fm c48r c48v c4ah c4am c4ar c4av,
CO-BOY-Paipa,0,c37m c37v c3dm c62h c62r,
CO-BOY-Pajarito,0,c4br c4bv c61h c61m,
CO-BOY-Panqueba,0,c6e2t c6e8j c6e8k c6e8n c6e8p c6e8s c6e8t c6e8y c6e8z c6eaj c6ean c6eap,
CO-BOY-Pauna,0,c30v c31r c32m c32v c33h,
CO-BOY-Paya,0,c61v c64r c64v c66h c66m c66v,
CO-BOY-PazRio,0,c68m c69h c69r,
CO-BOY-Pesca,0,c1fv c35m c35v c60h c60r,
CO-BOY-Pijaos,0,c347t c347y c34cn c34cp c34cz c34dj c34dk c34dn c34dp c34ds c34dt c34dy c34dz,
CO-BOY-Pisba,0,c61v c63m c63v c64r c66h c66m c66r c66v,
CO-BOY-PuertoBoyaca,0,c26m c26v c27h c27m c27r c27v c2cm c2cv c2dh c2dm c2dr c2fh c32h c32r c38h,
CO-BOY-Quipama,0,c25v c30h c30r c30v,
CO-BOY-Ramiriqui,0,c1q c3g,
CO-BOY-Raquira,0,c31m c31v c34h c34r,
CO-BOY-Rondon,0,c1fr c1fv c35h c35m,
CO-BOY-Saboya,0,c31v c33h c33m c34r c36h,
CO-BOY-Sachica,0,c34r c34v,
CO-BOY-Samaca,0,c34h c34m c34r c34v,
CO-BOY-SanEduardo,0,c1fv c4ah c4ar,
CO-BOY-SanJosePare,0,c3c1j c3c1k c3c1n c3c1p c3c1s c3c1t c3c1y c3c1z c3c3n c3c4j c3c4k c3c4p c3c4s c3c4t c3c4y c3c4z c3c6j c3c6k c3c6n,
CO-BOY-SanLuisGaceno,0,c17v c1dm c1dv c42r c48h c48r,
